	id	name	age	created	category
0	7809c129-36c8-41ae-a9fe-58e643117f9c	Vermundo	7	2023-04-23T06:45:42.710443	cat
1	87f0d7b5-783d-4b72-89dd-e7873770cf99	Blackbeard	10	2023-04-23T06:45:42.711005	cat
2	6d786a2c-38ad-4db9-8b5f-2f8b24b21489	Murphy	3	2023-04-23T06:45:42.712094	cat
3	9dc65d51-2884-4938-b6b2-61cdc8593e3e	Megan	18	2023-04-23T06:45:42.712917	cat
4	193a36e9-23e7-456d-8934-a866b22b16f7	Claudette	7	2023-04-23T06:45:42.713869	cat
5	7943f618-e156-4925-8a8b-f3b67c56aefb	Cloudy	9	2023-04-23T06:45:42.714587	cat
6	0cf28e54-7755-4fa8-81a3-d3b4aa63f484	Heather	15	2023-04-23T06:45:42.715296	cat
7	cd88b240-0032-4c07-91a6-ca0862d1fe8c	Glitter	10	2023-04-23T06:45:42.715968	cat
8	3f77dfe2-06f3-4c53-bcd9-e8bc724cf9f8	Ramona	8	2023-04-23T06:45:42.716628	cat
9	6d8c4f5c-a46c-46f4-8ab0-2f91ff220a48	Carrot	5	2023-04-23T06:45:42.717280	cat
10	dc01667d-20de-441b-911d-2916ab027f4d	Johann	20	2023-04-23T06:45:42.718035	cat
11	3492f285-f6a4-47fe-aadc-d0ed7f3f9c39	Charlie	6	2023-04-23T06:45:42.718697	cat
12	e21c03fd-24b0-4dd7-9f28-e7ae7d415577	Sassy	13	2023-04-23T06:45:42.719352	cat
13	22333bdf-99be-48e2-837b-5917639b910e	Caramel	2	2023-04-23T06:45:42.720055	cat
14	e317d579-c157-43b0-ad95-9347dd13bf3c	Dorito	18	2023-04-23T06:45:42.720748	cat
15	2cafd55d-aaf8-4444-81d2-2f9723ec105f	Simba	0	2023-04-23T06:45:42.721633	cat
16	c7fa41f7-8d19-43cb-9f33-4d04b27b0ceb	Frankie	13	2023-04-23T06:45:42.722328	cat
17	abf7a1fb-0463-4119-8e80-c0c25282a450	Charlemagne	3	2023-04-23T06:45:42.723263	cat
18	a5a0e31e-1208-44ab-b436-3670a712a22e	Cotton	3	2023-04-23T06:45:42.723953	cat
19	9bdcc9e2-47c8-414a-bf08-b7eabff8d9bd	Sugar	1	2023-04-23T06:45:42.724599	cat
20	3e4ddeb7-1fc1-4af4-9fee-1b38ec54fad4	Sabrina	7	2023-04-23T06:45:42.725251	cat
21	637335e5-f9ac-468d-a463-f65fbb092204	Skye	14	2023-04-23T06:45:42.725877	cat
22	aed48241-21dd-4915-8561-a8b38a525a3d	Claudette	3	2023-04-23T06:45:42.726526	cat
23	6ab52d2c-f382-4d8a-83f2-382675d63616	Merlin	15	2023-04-23T06:45:42.727152	cat
24	2aa6af24-e21f-47bc-8714-1b35f552f7f4	Snowflake	18	2023-04-23T06:45:42.727817	cat
